datetime,profile_code,profile_name,apparent_temperature,humidity,hour_sin,hour_cos,occupancy_level,load_lag_1,load_lag_24,target_24h
2021-01-02 00:00:00,0,single_worker,6.4,79,0.0,1.0,0.95,1.1097,0.9698,0.8264
2021-01-02 01:00:00,0,single_worker,6.6,82,0.2588190451025207,0.9659258262890684,0.95,0.9171,1.0454,0.8455
2021-01-02 02:00:00,0,single_worker,8.2,78,0.4999999999999999,0.8660254037844387,0.95,0.8547,1.0788,0.7265
2021-01-02 03:00:00,0,single_worker,8.0,83,0.7071067811865476,0.7071067811865476,0.95,0.8318,1.1039,0.9102
2021-01-02 04:00:00,0,single_worker,4.7,94,0.8660254037844386,0.5000000000000001,0.95,0.8536,1.1246,0.8036
2021-01-02 05:00:00,0,single_worker,4.2,93,0.9659258262890684,0.2588190451025207,0.95,1.0427,1.204,0.8136
2021-01-02 06:00:00,0,single_worker,3.6,91,1.0,6.123233995736766e-17,0.72,1.0148,1.0971,0.7699
2021-01-02 07:00:00,0,single_worker,5.3,88,0.9659258262890684,-0.2588190451025206,0.72,0.9457,0.9754,0.7192
2021-01-02 08:00:00,0,single_worker,8.0,71,0.8660254037844387,-0.4999999999999998,0.72,0.831,0.9066,0.9509
2021-01-02 09:00:00,0,single_worker,10.8,57,0.7071067811865476,-0.7071067811865475,0.68,0.6344,0.633,0.4406
2021-01-02 10:00:00,0,single_worker,12.9,51,0.4999999999999999,-0.8660254037844387,0.68,0.4377,0.5888,0.3093
2021-01-02 11:00:00,0,single_worker,15.1,46,0.258819045102521,-0.9659258262890682,0.68,0.2974,0.6332,0.35
2021-01-02 12:00:00,0,single_worker,16.5,43,1.2246467991473532e-16,-1.0,0.68,0.3555,0.4884,0.2688
2021-01-02 13:00:00,0,single_worker,17.5,41,-0.2588190451025208,-0.9659258262890684,0.68,0.2555,0.4507,0.7322
2021-01-02 14:00:00,0,single_worker,17.5,40,-0.4999999999999997,-0.8660254037844388,0.68,0.1339,0.4469,0.3529
2021-01-02 15:00:00,0,single_worker,16.8,40,-0.7071067811865471,-0.7071067811865479,0.68,0.1988,0.3995,0.2639
2021-01-02 16:00:00,0,single_worker,16.2,41,-0.8660254037844385,-0.5000000000000004,0.68,0.2712,0.4226,0.1859
2021-01-02 17:00:00,0,single_worker,14.6,50,-0.9659258262890684,-0.2588190451025206,0.68,0.2386,0.3862,0.2395
2021-01-02 18:00:00,0,single_worker,12.4,55,-1.0,-1.8369701987210294e-16,0.9,0.2456,1.1089,0.8753
2021-01-02 19:00:00,0,single_worker,11.2,58,-0.9659258262890684,0.2588190451025203,0.9,1.0164,1.5033,1.0413
2021-01-02 20:00:00,0,single_worker,11.1,59,-0.8660254037844386,0.5000000000000001,0.9,1.1295,1.3941,1.0224
2021-01-02 21:00:00,0,single_worker,10.1,64,-0.7071067811865477,0.7071067811865474,0.9,1.1379,0.9728,0.8039
2021-01-02 22:00:00,0,single_worker,9.7,73,-0.5000000000000004,0.8660254037844384,0.9,0.9535,1.2892,0.7624
2021-01-02 23:00:00,0,single_worker,9.0,82,-0.2588190451025215,0.965925826289068,0.95,0.9053,1.1097,0.68
2021-01-03 00:00:00,0,single_worker,8.0,90,0.0,1.0,0.95,0.7552,0.9171,0.5121
